wav_file,txt_file,groundtruth_text_raw,groundtruth_text_train,duration,aave,speaker_id,gender,split,sr
data_processed_coraal/wav/ATL_se0_ag2_m_03_1_part_65.wav,data_processed_coraal/txt/ATL_se0_ag2_m_03_1_part_65.txt,"[I] just cooling it, bro, you feel me. I'm finna get my Pro Tools up and running, you know what I mean, fuck around with some shit,",I JUST COOLING IT BRO YOU FEEL ME I'M FINNA GET MY PRO TOOLS UP AND RUNNING YOU KNOW WHAT I MEAN FUCK AROUND WITH SOME SHIT,5.067,1,ATL_se0_ag2_m_03,m,train,44100
data_processed_coraal/wav/PRV_se0_ag2_f_02_1_part_138.wav,data_processed_coraal/txt/PRV_se0_ag2_f_02_1_part_138.txt,"I guess I stayed there about a year, and then I started as a, uh, a ins- a insurance salesperson,",I GUESS I STAYED THERE ABOUT A YEAR AND THEN I STARTED AS A UH A INS A INSURANCE SALESPERSON,8.952,1,PRV_se0_ag2_f_02,f,train,44100
data_processed_coraal/wav/ATL_se0_ag2_m_01_1_part_76.wav,data_processed_coraal/txt/ATL_se0_ag2_m_01_1_part_76.txt,"I go to get to Five Points, and when I walked outside, it was just oceans of people. Like I've never seen that many people in my life. And I [was like],",I GO TO GET TO FIVE POINTS AND WHEN I WALKED OUTSIDE IT WAS JUST OCEANS OF PEOPLE LIKE I'VE NEVER SEEN THAT MANY PEOPLE IN MY LIFE AND I WAS LIKE,9.255,1,ATL_se0_ag2_m_01,m,train,44100
data_processed_coraal/wav/ATL_se0_ag1_f_03_1_part_58.wav,data_processed_coraal/txt/ATL_se0_ag1_f_03_1_part_58.txt,"They say, um, she's dragging, you dragging, like, [that means like],",THEY SAY UM SHE'S DRAGGING YOU DRAGGING LIKE THAT MEANS LIKE,5.409,1,ATL_se0_ag1_f_03,f,val,44100
data_processed_coraal/wav/PRV_se0_ag3_m_01_1_part_46.wav,data_processed_coraal/txt/PRV_se0_ag3_m_01_1_part_46.txt,"And um, and we- you- and you'd be surprised how many, um, Caucasian supporters- I call 'em my Caucasian [brothers-]",AND UM AND WE YOU AND YOU'D BE SURPRISED HOW MANY UM CAUCASIAN SUPPORTERS I CALL 'EM MY CAUCASIAN BROTHERS,8.821,1,PRV_se0_ag3_m_01,m,train,44100
data_processed_coraal/wav/DCB_se1_ag4_m_02_1_part_116.wav,data_processed_coraal/txt/DCB_se1_ag4_m_02_1_part_116.txt,"Maurice. How long have you had it? Uh, since he was /uh/ born. He's about four years now. He four years old. He full grown. I don't know why my girlfriend named him Maurice. She must have- she must have a a boyfriend or something- ex boyfriend named Maurice. [<laugh>] [Every time she wanna kick the dog in the ass-] [Every time] she wanna kick Maurice in the ass, she kick the dog in the ass.",MAURICE HOW LONG HAVE YOU HAD IT UH SINCE HE WAS UH BORN HE'S ABOUT FOUR YEARS NOW HE FOUR YEARS OLD HE FULL GROWN I DON'T KNOW WHY MY GIRLFRIEND NAMED HIM MAURICE SHE MUST HAVE SHE MUST HAVE A A BOYFRIEND OR SOMETHING EX BOYFRIEND NAMED MAURICE EVERY TIME SHE WANNA KICK THE DOG IN THE ASS EVERY TIME SHE WANNA KICK MAURICE IN THE ASS SHE KICK THE DOG IN THE ASS,20.901,1,DCB_se1_ag4_m_02,m,test,44100
data_processed_coraal/wav/DCB_se1_ag2_m_02_3_part_3.wav,data_processed_coraal/txt/DCB_se1_ag2_m_02_3_part_3.txt,"it's just b- different bands, um, doing their variation of songs that's out today that's- or out at the time that they made the song. They make their own songs too. Um, but it's just- it's unique in th- in a sense of, uh, just how they play the songs, like, like and- and how it ele- uh-",IT'S JUST B DIFFERENT BANDS UM DOING THEIR VARIATION OF SONGS THAT'S OUT TODAY THAT'S OR OUT AT THE TIME THAT THEY MADE THE SONG THEY MAKE THEIR OWN SONGS TOO UM BUT IT'S JUST IT'S UNIQUE IN TH IN A SENSE OF UH JUST HOW THEY PLAY THE SONGS LIKE LIKE AND AND HOW IT ELE UH,21.983,1,DCB_se1_ag2_m_02,m,train,44100
data_processed_coraal/wav/DCB_se2_ag3_m_01_1_part_88.wav,data_processed_coraal/txt/DCB_se2_ag3_m_01_1_part_88.txt,And then I'm empty and I don't- I've been in a place where I'm trying to operate on fumes. That- that's not fun. That's not a fun place.,AND THEN I'M EMPTY AND I DON'T I'VE BEEN IN A PLACE WHERE I'M TRYING TO OPERATE ON FUMES THAT THAT'S NOT FUN THAT'S NOT A FUN PLACE,6.38,1,DCB_se2_ag3_m_01,m,val,44100
data_processed_coraal/wav/ATL_se0_ag2_m_01_1_part_70.wav,data_processed_coraal/txt/ATL_se0_ag2_m_01_1_part_70.txt,"[Everything] will be okay when it's supposed to be okay. Just when you know it's gonna be okay, it's gonna be alright.",EVERYTHING WILL BE OKAY WHEN IT'S SUPPOSED TO BE OKAY JUST WHEN YOU KNOW IT'S GONNA BE OKAY IT'S GONNA BE ALRIGHT,5.518,1,ATL_se0_ag2_m_01,m,train,44100
data_processed_coraal/wav/PRV_se0_ag3_f_04_3_part_76.wav,data_processed_coraal/txt/PRV_se0_ag3_f_04_3_part_76.txt,"and we got up there that morning, that- that uh- it was foggy. And they wont let no planes come up, neither go down until it cleared up.",AND WE GOT UP THERE THAT MORNING THAT THAT UH IT WAS FOGGY AND THEY WONT LET NO PLANES COME UP NEITHER GO DOWN UNTIL IT CLEARED UP,13.363,1,PRV_se0_ag3_f_04,f,val,44100
